[2019-07-08 16:08:06,897][main][INFO][org.apache.catalina.core.AprLifecycleListener:173] The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/clouddxw/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
[2019-07-08 16:08:06,976][main][INFO][org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173] Initializing Spring embedded WebApplicationContext
[2019-07-08 16:08:06,976][main][INFO][org.springframework.web.context.ContextLoader:296] Root WebApplicationContext: initialization completed in 1206 ms
[2019-07-08 16:08:07,723][main][INFO][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:171] Initializing ExecutorService 'applicationTaskExecutor'
[2019-07-08 16:08:08,084][main][INFO][org.apache.coyote.http11.Http11NioProtocol:173] Starting ProtocolHandler ["http-nio-9095"]
[2019-07-08 16:08:08,124][main][INFO][org.springframework.boot.web.embedded.tomcat.TomcatWebServer:204] Tomcat started on port(s): 9095 (http) with context path ''
[2019-07-08 16:08:08,129][main][INFO][com.iresearch.svc.SvcApplication:59] Started SvcApplication in 2.726 seconds (JVM running for 4.044)
[2019-07-08 16:08:35,453][http-nio-9095-exec-1][INFO][org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173] Initializing Spring DispatcherServlet 'dispatcherServlet'
[2019-07-08 16:08:35,454][http-nio-9095-exec-1][INFO][org.springframework.web.servlet.DispatcherServlet:524] Initializing Servlet 'dispatcherServlet'
[2019-07-08 16:08:35,460][http-nio-9095-exec-1][INFO][org.springframework.web.servlet.DispatcherServlet:546] Completed initialization in 6 ms
[2019-07-08 16:08:37,688][http-nio-9095-exec-4][INFO][io.lettuce.core.EpollProvider:68] Starting without optional epoll library
[2019-07-08 16:08:37,690][http-nio-9095-exec-4][INFO][io.lettuce.core.KqueueProvider:70] Starting without optional kqueue library
[2019-07-08 16:08:37,831][http-nio-9095-exec-4][INFO][com.iresearch.svc.controller.LoginController:155] com.iresearch.svc.controller.LoginController$1Checkres@53cad8ff
[2019-07-08 16:08:37,867][http-nio-9095-exec-5][INFO][com.iresearch.svc.controller.LoginInterceptor_v:78] admin
[2019-07-08 16:08:37,867][http-nio-9095-exec-5][INFO][com.iresearch.svc.controller.LoginInterceptor_v:80] 1
[2019-07-08 16:08:37,950][http-nio-9095-exec-6][INFO][com.iresearch.svc.controller.IndexController:115] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@56366696|首页|打开页面|@|
[2019-07-08 16:08:47,234][http-nio-9095-exec-8][INFO][com.iresearch.svc.controller.LoginInterceptor_v:78] admin
[2019-07-08 16:08:47,234][http-nio-9095-exec-8][INFO][com.iresearch.svc.controller.LoginInterceptor_v:80] 1
[2019-07-08 16:08:47,642][http-nio-9095-exec-9][INFO][com.zaxxer.hikari.HikariDataSource:110] HikariPool-1 - Starting...
[2019-07-08 16:08:53,518][http-nio-9095-exec-9][INFO][com.zaxxer.hikari.pool.PoolBase:525] HikariPool-1 - Driver does not support get/set network timeout for connections. (不支持此操作。)
[2019-07-08 16:08:53,592][http-nio-9095-exec-9][INFO][com.zaxxer.hikari.HikariDataSource:123] HikariPool-1 - Start completed.
[2019-07-08 16:08:55,507][http-nio-9095-exec-9][INFO][com.iresearch.svc.controller.AllshowController:249] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@56366696|节目排名与详情|打开页面|@|
[2019-07-08 16:08:55,864][http-nio-9095-exec-10][INFO][com.iresearch.svc.controller.LoginInterceptor_v:78] admin
[2019-07-08 16:08:55,864][http-nio-9095-exec-10][INFO][com.iresearch.svc.controller.LoginInterceptor_v:80] 1
[2019-07-08 16:08:55,865][http-nio-9095-exec-1][INFO][com.iresearch.svc.controller.LoginInterceptor_v:78] admin
[2019-07-08 16:08:55,865][http-nio-9095-exec-1][INFO][com.iresearch.svc.controller.LoginInterceptor_v:80] 1
[2019-07-08 16:09:10,873][http-nio-9095-exec-10][INFO][com.iresearch.svc.controller.LoginController:155] com.iresearch.svc.controller.LoginController$1Checkres@45599ae2
[2019-07-08 16:09:10,884][http-nio-9095-exec-1][INFO][com.iresearch.svc.controller.LoginInterceptor_v:78] admin
[2019-07-08 16:09:10,885][http-nio-9095-exec-1][INFO][com.iresearch.svc.controller.LoginInterceptor_v:80] 1
[2019-07-08 16:09:11,758][http-nio-9095-exec-7][INFO][com.iresearch.svc.controller.IndexController:115] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|首页|打开页面|@|
[2019-07-08 16:09:13,544][http-nio-9095-exec-10][INFO][com.iresearch.svc.controller.LoginInterceptor_v:78] admin
[2019-07-08 16:09:13,545][http-nio-9095-exec-10][INFO][com.iresearch.svc.controller.LoginInterceptor_v:80] 1
[2019-07-08 16:09:16,565][http-nio-9095-exec-4][INFO][com.iresearch.svc.controller.AllshowController:249] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|节目排名与详情|打开页面|@|
[2019-07-08 16:09:47,386][http-nio-9095-exec-9][INFO][com.iresearch.svc.controller.AllshowController:270] 网络平台谈话/脱口秀类,生活观察类,综合游戏类,才艺竞演类,文化类,美食类,亲子/儿童互动,明星竞演类,喜剧类,创意类,其他S+级,S级,A级,B级,C级总冠名,其他快速消费品,互联网应用,耐用消费品,汽车,手机,其他男,女18岁以下,18-24岁,25-34岁,35-50岁,50岁以上一线城市,二线城市,三线城市及以下2016-01-012019-07-08
[2019-07-08 16:09:51,123][http-nio-9095-exec-9][INFO][com.iresearch.svc.controller.AllshowController:473] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|节目排名与详情|Norm筛选|@|
[2019-07-08 16:10:05,937][http-nio-9095-exec-3][INFO][com.iresearch.svc.controller.AllshowController:551] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|节目排名与详情|节目搜索|@|
[2019-07-08 16:10:12,816][http-nio-9095-exec-6][INFO][com.iresearch.svc.controller.AllshowController:551] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|节目排名与详情|节目搜索|@|
[2019-07-08 16:10:17,520][http-nio-9095-exec-1][INFO][com.iresearch.svc.controller.AllshowController:551] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|节目排名与详情|节目搜索|@|
[2019-07-08 16:10:21,050][http-nio-9095-exec-4][INFO][com.iresearch.svc.controller.LoginInterceptor_v:78] admin
[2019-07-08 16:10:21,051][http-nio-9095-exec-4][INFO][com.iresearch.svc.controller.LoginInterceptor_v:80] 1
[2019-07-08 16:10:27,056][http-nio-9095-exec-5][INFO][com.iresearch.svc.controller.ShowcustomController:162] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|定制节目详情|打开页面|@|
[2019-07-08 16:10:41,077][http-nio-9095-exec-6][INFO][com.iresearch.svc.controller.ShowcustomController:293] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|定制节目详情|Norm筛选|@|
[2019-07-08 16:11:31,709][http-nio-9095-exec-1][INFO][com.iresearch.svc.controller.LoginInterceptor_v:78] admin
[2019-07-08 16:11:31,715][http-nio-9095-exec-1][INFO][com.iresearch.svc.controller.LoginInterceptor_v:80] 1
[2019-07-08 16:11:31,860][http-nio-9095-exec-9][INFO][com.iresearch.svc.controller.ShowcustomController:162] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|定制节目详情|打开页面|@|
[2019-07-08 16:11:44,403][http-nio-9095-exec-8][INFO][com.iresearch.svc.controller.ShowcustomController:293] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|定制节目详情|Norm筛选|@|
[2019-07-08 16:12:14,942][http-nio-9095-exec-10][INFO][com.iresearch.svc.controller.LoginInterceptor_v:78] admin
[2019-07-08 16:12:14,942][http-nio-9095-exec-10][INFO][com.iresearch.svc.controller.LoginInterceptor_v:80] 1
[2019-07-08 16:12:23,086][http-nio-9095-exec-2][INFO][com.iresearch.svc.controller.AllbrandController:309] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|品牌排名与详情|打开页面|@|
[2019-07-08 16:12:34,484][http-nio-9095-exec-1][INFO][com.iresearch.svc.controller.AllbrandController:682] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|品牌排名与详情|品牌搜索|@|
[2019-07-08 16:12:55,161][http-nio-9095-exec-4][INFO][com.iresearch.svc.controller.AllbrandController:581] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|品牌排名与详情|Norm筛选|@|
[2019-07-08 16:13:08,026][http-nio-9095-exec-9][INFO][com.iresearch.svc.controller.LoginInterceptor_v:78] admin
[2019-07-08 16:13:08,027][http-nio-9095-exec-9][INFO][com.iresearch.svc.controller.LoginInterceptor_v:80] 1
[2019-07-08 16:13:10,662][http-nio-9095-exec-5][INFO][com.iresearch.svc.controller.ShowcompController:96] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|节目/品牌对比|打开页面|@|
[2019-07-08 16:13:16,322][http-nio-9095-exec-6][INFO][com.iresearch.svc.controller.ShowcompController:193] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|节目/品牌对比|节目搜索|@|
[2019-07-08 16:13:21,021][http-nio-9095-exec-7][INFO][com.iresearch.svc.controller.ShowcompController:193] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|节目/品牌对比|节目搜索|@|
[2019-07-08 16:13:27,693][http-nio-9095-exec-2][INFO][com.iresearch.svc.controller.ShowcompController:193] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|节目/品牌对比|节目搜索|@|
[2019-07-08 16:13:36,807][http-nio-9095-exec-1][INFO][com.iresearch.svc.controller.ShowcompController:241] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|节目/品牌对比|品牌搜索|@|
[2019-07-08 16:13:41,790][http-nio-9095-exec-4][INFO][com.iresearch.svc.controller.ShowcompController:241] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|节目/品牌对比|品牌搜索|@|
[2019-07-08 16:13:48,920][http-nio-9095-exec-9][INFO][com.iresearch.svc.controller.ShowcompController:241] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|节目/品牌对比|品牌搜索|@|
[2019-07-08 16:13:51,558][http-nio-9095-exec-8][INFO][com.iresearch.svc.controller.ShowcompController:263] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|节目/品牌对比|查看节目详情|@|
[2019-07-08 16:13:55,657][http-nio-9095-exec-10][INFO][com.iresearch.svc.controller.ShowcompController:263] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|节目/品牌对比|查看节目详情|@|
[2019-07-08 16:13:58,229][http-nio-9095-exec-3][INFO][com.iresearch.svc.controller.ShowcompController:263] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|节目/品牌对比|查看节目详情|@|
[2019-07-08 16:14:03,227][http-nio-9095-exec-5][INFO][com.iresearch.svc.controller.ShowcompController:263] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|节目/品牌对比|查看节目详情|@|
[2019-07-08 16:14:14,758][http-nio-9095-exec-2][INFO][com.iresearch.svc.controller.LoginInterceptor_v:78] admin
[2019-07-08 16:14:14,758][http-nio-9095-exec-2][INFO][com.iresearch.svc.controller.LoginInterceptor_v:80] 1
[2019-07-08 16:14:20,181][http-nio-9095-exec-4][INFO][com.iresearch.svc.controller.ShowcustomController:162] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|定制节目详情|打开页面|@|
[2019-07-08 16:14:36,814][http-nio-9095-exec-8][INFO][com.iresearch.svc.controller.ShowcustomController:293] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|定制节目详情|Norm筛选|@|
[2019-07-08 16:14:39,680][http-nio-9095-exec-10][INFO][com.iresearch.svc.controller.LoginInterceptor_v:78] admin
[2019-07-08 16:14:39,681][http-nio-9095-exec-10][INFO][com.iresearch.svc.controller.LoginInterceptor_v:80] 1
[2019-07-08 16:14:59,116][http-nio-9095-exec-7][INFO][com.iresearch.svc.controller.LoginInterceptor_v:78] admin
[2019-07-08 16:14:59,116][http-nio-9095-exec-7][INFO][com.iresearch.svc.controller.LoginInterceptor_v:80] 1
[2019-07-08 16:15:04,055][http-nio-9095-exec-10][INFO][com.iresearch.svc.controller.ShowlibController:97] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|节目库|打开页面|@|
[2019-07-08 16:15:17,650][http-nio-9095-exec-3][INFO][com.iresearch.svc.controller.ShowlibController:159] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|节目库|Norm筛选|@|
[2019-07-08 16:15:29,169][http-nio-9095-exec-5][INFO][com.iresearch.svc.controller.ShowlibController:159] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|节目库|Norm筛选|@|
[2019-07-08 16:15:39,015][http-nio-9095-exec-6][INFO][com.iresearch.svc.controller.ShowlibController:219] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|节目库|节目预测|@|
[2019-07-08 16:15:43,198][http-nio-9095-exec-7][INFO][com.iresearch.svc.controller.ShowlibController:219] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c559f74|节目库|节目预测|@|
